show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s44,TV Show,Movie/Show 44,,Actor 3,Canada,,2015,TV-14,90 min,Dramas,Description 44
s45,Movie,Movie/Show 45,Director 2,"Actor 1, Actor 2",India,"December 31, 2020",2019,R,90 min,Documentaries,Description 45
s46,Movie,Movie/Show 46,Director 4,Actor 3,United Kingdom,"September 9, 2019",2000,PG-13,2 Seasons,Documentaries,Description 46
s47,TV Show,Movie/Show 47,Director 1,Actor 5,United Kingdom,,2016,PG-13,100 min,Action & Adventure,Description 47
s48,Movie,Movie/Show 48,,Actor 5,United States,,2004,R,120 min,Documentaries,Description 48
s49,TV Show,Movie/Show 49,Director 2,Actor 6,United Kingdom,,2014,R,2 Seasons,Documentaries,Description 49
s50,TV Show,Movie/Show 50,Director 2,,,"December 31, 2020",2005,,100 min,Documentaries,Description 50
s51,,Movie/Show 51,Director 3,"Actor 1, Actor 2",United Kingdom,"September 9, 2019",2007,PG-13,100 min,Dramas,Description 51
s52,TV Show,Movie/Show 52,Director 2,,,"December 31, 2020",2002,PG-13,100 min,Dramas,Description 52
s53,Movie,Movie/Show 53,Director 1,Actor 3,United Kingdom,"March 5, 2018",2016,R,100 min,Comedies,Description 53
s54,,Movie/Show 54,Director 1,Actor 6,,"March 5, 2018",2020,R,90 min,Horror Movies,Description 54
s55,TV Show,Movie/Show 55,Director 2,Actor 5,,,2008,TV-MA,100 min,Action & Adventure,Description 55
s56,,Movie/Show 56,Director 3,Actor 5,United Kingdom,,2006,,2 Seasons,Comedies,Description 56
s57,Movie,Movie/Show 57,,Actor 6,,,2004,TV-14,120 min,Documentaries,Description 57
s58,TV Show,Movie/Show 58,,"Actor 1, Actor 2",United States,"September 9, 2019",2005,,120 min,Documentaries,Description 58
s59,Movie,Movie/Show 59,Director 3,,Canada,"September 9, 2019",2005,PG-13,95 min,Comedies,Description 59
s60,,Movie/Show 60,Director 4,Actor 3,,,2011,TV-MA,2 Seasons,Action & Adventure,Description 60
s61,TV Show,Movie/Show 61,Director 1,,,"September 9, 2019",2019,R,95 min,Documentaries,Description 61
s62,,Movie/Show 62,Director 4,Actor 5,United States,"July 15, 2020",2022,TV-14,2 Seasons,Documentaries,Description 62
s63,,Movie/Show 63,Director 3,Actor 6,United States,,2003,PG-13,100 min,Dramas,Description 63
s64,TV Show,Movie/Show 64,Director 4,Actor 5,India,"July 15, 2020",2021,TV-14,95 min,Horror Movies,Description 64
s65,,Movie/Show 65,Director 3,Actor 5,Canada,"December 31, 2020",2007,,100 min,Documentaries,Description 65
s66,Movie,Movie/Show 66,,Actor 3,India,"July 15, 2020",2013,TV-MA,2 Seasons,Horror Movies,Description 66
s67,,Movie/Show 67,,"Actor 1, Actor 2",,"December 31, 2020",2010,,90 min,Horror Movies,Description 67
s68,Movie,Movie/Show 68,Director 4,"Actor 1, Actor 2",United States,"December 31, 2020",2003,R,90 min,Horror Movies,Description 68
s69,Movie,Movie/Show 69,Director 4,Actor 3,,,2015,TV-MA,90 min,Documentaries,Description 69
s70,,Movie/Show 70,Director 1,Actor 6,United Kingdom,,2021,,90 min,Documentaries,Description 70
s71,Movie,Movie/Show 71,,,Canada,"December 31, 2020",2015,TV-14,120 min,Horror Movies,Description 71
s72,TV Show,Movie/Show 72,Director 1,Actor 6,United Kingdom,"September 9, 2019",2015,TV-MA,90 min,Comedies,Description 72
s73,Movie,Movie/Show 73,Director 4,,United States,"March 5, 2018",2006,TV-MA,2 Seasons,Horror Movies,Description 73
s74,Movie,Movie/Show 74,Director 3,"Actor 1, Actor 2",United States,"July 15, 2020",2018,R,90 min,Dramas,Description 74
s75,Movie,Movie/Show 75,,Actor 5,United States,"December 31, 2020",2005,R,120 min,Documentaries,Description 75
s76,TV Show,Movie/Show 76,Director 3,Actor 5,Canada,"March 5, 2018",2020,TV-14,100 min,Action & Adventure,Description 76
s77,TV Show,Movie/Show 77,Director 1,Actor 6,India,,2013,TV-14,95 min,Documentaries,Description 77
s78,TV Show,Movie/Show 78,Director 1,Actor 3,,,2000,TV-MA,100 min,Horror Movies,Description 78
s79,,Movie/Show 79,Director 2,,,"December 31, 2020",2007,PG-13,100 min,Documentaries,Description 79
s80,TV Show,Movie/Show 80,,Actor 5,,"September 9, 2019",2001,,95 min,Horror Movies,Description 80
s81,Movie,Movie/Show 81,,Actor 6,,"December 31, 2020",2004,TV-MA,90 min,Action & Adventure,Description 81
s82,TV Show,Movie/Show 82,Director 1,Actor 3,,"July 15, 2020",2018,TV-14,90 min,Action & Adventure,Description 82
s83,TV Show,Movie/Show 83,Director 3,"Actor 1, Actor 2",India,"March 5, 2018",2018,TV-MA,2 Seasons,Action & Adventure,Description 83
s84,Movie,Movie/Show 84,,Actor 3,United Kingdom,"September 9, 2019",2005,R,90 min,Dramas,Description 84
s85,,Movie/Show 85,Director 1,"Actor 1, Actor 2",Canada,"December 31, 2020",2004,,90 min,Dramas,Description 85
s86,TV Show,Movie/Show 86,Director 2,Actor 6,United Kingdom,"July 15, 2020",2020,TV-MA,2 Seasons,Horror Movies,Description 86
s87,,Movie/Show 87,Director 4,Actor 3,United Kingdom,"July 15, 2020",2016,R,95 min,Dramas,Description 87
s88,,Movie/Show 88,,Actor 6,,"September 9, 2019",2001,,2 Seasons,Comedies,Description 88
s89,,Movie/Show 89,Director 4,"Actor 1, Actor 2",,"July 15, 2020",2018,,90 min,Action & Adventure,Description 89
s90,Movie,Movie/Show 90,Director 3,Actor 5,India,"July 15, 2020",2004,PG-13,90 min,Action & Adventure,Description 90
s91,,Movie/Show 91,Director 2,Actor 5,Canada,"July 15, 2020",2001,R,90 min,Horror Movies,Description 91
s92,,Movie/Show 92,,"Actor 1, Actor 2",United States,"July 15, 2020",2005,,2 Seasons,Dramas,Description 92
s93,Movie,Movie/Show 93,Director 4,,United Kingdom,"December 31, 2020",2008,PG-13,95 min,Action & Adventure,Description 93
s94,,Movie/Show 94,Director 4,,United States,"September 9, 2019",2005,PG-13,120 min,Documentaries,Description 94
s95,,Movie/Show 95,Director 1,Actor 5,Canada,"March 5, 2018",2016,TV-MA,2 Seasons,Dramas,Description 95
s96,Movie,Movie/Show 96,Director 4,Actor 5,United Kingdom,"March 5, 2018",2012,TV-14,95 min,Documentaries,Description 96
s97,Movie,Movie/Show 97,Director 3,Actor 3,United States,"July 15, 2020",2019,TV-14,90 min,Action & Adventure,Description 97
s98,TV Show,Movie/Show 98,Director 4,Actor 3,United States,"December 31, 2020",2018,,95 min,Action & Adventure,Description 98
s99,TV Show,Movie/Show 99,Director 3,Actor 5,India,"July 15, 2020",2020,,100 min,Documentaries,Description 99
s100,TV Show,Movie/Show 100,Director 3,,Canada,"July 15, 2020",2000,,100 min,Action & Adventure,Description 100
s101,,Movie/Show 101,Director 1,Actor 3,Canada,"December 31, 2020",2021,TV-MA,120 min,Dramas,Description 101
s102,,Movie/Show 102,Director 2,"Actor 1, Actor 2",Canada,,2009,PG-13,90 min,Comedies,Description 102
s103,,Movie/Show 103,Director 3,Actor 3,United Kingdom,"September 9, 2019",2002,TV-14,120 min,Comedies,Description 103
s104,Movie,Movie/Show 104,Director 4,Actor 3,India,"March 5, 2018",2006,R,100 min,Comedies,Description 104
s105,,Movie/Show 105,Director 4,Actor 3,,"December 31, 2020",2014,TV-14,120 min,Action & Adventure,Description 105
s106,TV Show,Movie/Show 106,Director 3,Actor 6,United Kingdom,"March 5, 2018",2019,PG-13,100 min,Horror Movies,Description 106
s107,Movie,Movie/Show 107,Director 4,"Actor 1, Actor 2",Canada,"December 31, 2020",2015,PG-13,100 min,Dramas,Description 107
s108,Movie,Movie/Show 108,,Actor 5,United Kingdom,"December 31, 2020",2015,R,95 min,Dramas,Description 108
s109,Movie,Movie/Show 109,Director 1,,United States,,2005,TV-MA,90 min,Action & Adventure,Description 109
s110,TV Show,Movie/Show 110,Director 4,,United Kingdom,"July 15, 2020",2007,TV-14,100 min,Dramas,Description 110
s111,TV Show,Movie/Show 111,Director 1,Actor 5,United Kingdom,"September 9, 2019",2013,,90 min,Action & Adventure,Description 111
s112,TV Show,Movie/Show 112,Director 3,Actor 6,Canada,,2019,TV-MA,120 min,Comedies,Description 112
s113,Movie,Movie/Show 113,Director 3,,United States,"March 5, 2018",2004,,120 min,Dramas,Description 113
s114,Movie,Movie/Show 114,Director 3,Actor 3,Canada,"September 9, 2019",2018,TV-14,100 min,Horror Movies,Description 114
s115,,Movie/Show 115,Director 1,,United States,"July 15, 2020",2005,R,90 min,Action & Adventure,Description 115
s116,,Movie/Show 116,Director 4,"Actor 1, Actor 2",United States,,2019,TV-MA,100 min,Dramas,Description 116
s117,TV Show,Movie/Show 117,,"Actor 1, Actor 2",United States,"December 31, 2020",2021,TV-14,100 min,Documentaries,Description 117
s118,Movie,Movie/Show 118,Director 1,Actor 5,Canada,"March 5, 2018",2016,,95 min,Documentaries,Description 118
s119,,Movie/Show 119,,Actor 6,United States,,2008,TV-14,120 min,Horror Movies,Description 119
s120,TV Show,Movie/Show 120,Director 4,Actor 6,India,,2005,PG-13,90 min,Horror Movies,Description 120
s121,TV Show,Movie/Show 121,Director 4,,India,"September 9, 2019",2021,PG-13,120 min,Documentaries,Description 121
s122,,Movie/Show 122,Director 1,Actor 6,,"March 5, 2018",2010,TV-14,95 min,Action & Adventure,Description 122
s123,TV Show,Movie/Show 123,Director 2,Actor 6,India,"March 5, 2018",2014,,2 Seasons,Dramas,Description 123
s124,Movie,Movie/Show 124,,,,"March 5, 2018",2019,PG-13,120 min,Documentaries,Description 124
s125,TV Show,Movie/Show 125,Director 3,"Actor 1, Actor 2",India,"September 9, 2019",2018,TV-14,95 min,Horror Movies,Description 125
s126,Movie,Movie/Show 126,,Actor 3,Canada,"March 5, 2018",2002,TV-14,120 min,Dramas,Description 126
s127,Movie,Movie/Show 127,Director 4,Actor 5,,"September 9, 2019",2007,,90 min,Action & Adventure,Description 127
s128,,Movie/Show 128,Director 4,"Actor 1, Actor 2",United Kingdom,"December 31, 2020",2012,PG-13,95 min,Documentaries,Description 128
s129,,Movie/Show 129,Director 1,Actor 6,United Kingdom,"September 9, 2019",2012,,2 Seasons,Horror Movies,Description 129
s130,,Movie/Show 130,Director 2,Actor 6,India,"July 15, 2020",2004,,120 min,Documentaries,Description 130
s131,TV Show,Movie/Show 131,Director 3,,United Kingdom,"March 5, 2018",2003,,95 min,Action & Adventure,Description 131
s132,,Movie/Show 132,,Actor 5,India,"July 15, 2020",2000,PG-13,2 Seasons,Horror Movies,Description 132
s133,,Movie/Show 133,Director 2,Actor 3,India,"July 15, 2020",2006,PG-13,90 min,Dramas,Description 133
s134,TV Show,Movie/Show 134,Director 3,,United Kingdom,"December 31, 2020",2016,TV-MA,120 min,Documentaries,Description 134
s135,,Movie/Show 135,Director 4,,United Kingdom,,2016,R,100 min,Dramas,Description 135
s136,TV Show,Movie/Show 136,Director 4,Actor 3,United States,"December 31, 2020",2021,TV-14,90 min,Comedies,Description 136
s137,TV Show,Movie/Show 137,Director 1,Actor 3,,"September 9, 2019",2013,R,90 min,Action & Adventure,Description 137
s138,Movie,Movie/Show 138,Director 1,Actor 6,India,"September 9, 2019",2004,,90 min,Documentaries,Description 138
s139,Movie,Movie/Show 139,,,United Kingdom,"March 5, 2018",2019,TV-MA,90 min,Horror Movies,Description 139
s140,,Movie/Show 140,Director 2,"Actor 1, Actor 2",,"July 15, 2020",2003,TV-MA,2 Seasons,Action & Adventure,Description 140
s141,TV Show,Movie/Show 141,Director 2,"Actor 1, Actor 2",United Kingdom,"December 31, 2020",2005,TV-14,100 min,Comedies,Description 141
s142,Movie,Movie/Show 142,Director 3,,United Kingdom,,2015,TV-14,120 min,Horror Movies,Description 142
s143,Movie,Movie/Show 143,,Actor 3,United States,"December 31, 2020",2019,R,90 min,Action & Adventure,Description 143
s144,Movie,Movie/Show 144,Director 1,Actor 5,India,"March 5, 2018",2019,R,120 min,Action & Adventure,Description 144
s145,Movie,Movie/Show 145,,Actor 3,India,"December 31, 2020",2001,PG-13,95 min,Documentaries,Description 145
s146,,Movie/Show 146,Director 4,Actor 3,Canada,,2017,R,90 min,Comedies,Description 146
s147,Movie,Movie/Show 147,Director 1,Actor 5,United States,,2016,R,90 min,Documentaries,Description 147
s148,,Movie/Show 148,Director 2,Actor 3,,"July 15, 2020",2003,,120 min,Dramas,Description 148
s149,TV Show,Movie/Show 149,Director 1,Actor 5,United States,"July 15, 2020",2002,TV-MA,100 min,Horror Movies,Description 149
s150,,Movie/Show 150,Director 4,,,"March 5, 2018",2015,R,95 min,Comedies,Description 150
s151,Movie,Movie/Show 151,Director 1,Actor 5,India,"July 15, 2020",2021,PG-13,100 min,Action & Adventure,Description 151
s152,TV Show,Movie/Show 152,Director 2,"Actor 1, Actor 2",Canada,"September 9, 2019",2004,R,120 min,Action & Adventure,Description 152
s153,TV Show,Movie/Show 153,Director 4,Actor 5,Canada,"July 15, 2020",2019,,2 Seasons,Dramas,Description 153
s154,,Movie/Show 154,Director 3,Actor 3,India,"September 9, 2019",2017,TV-14,90 min,Action & Adventure,Description 154
s155,TV Show,Movie/Show 155,,,United Kingdom,"December 31, 2020",2000,,2 Seasons,Horror Movies,Description 155
s156,,Movie/Show 156,Director 3,Actor 5,United States,"September 9, 2019",2021,PG-13,120 min,Documentaries,Description 156
s157,TV Show,Movie/Show 157,Director 4,Actor 3,Canada,"March 5, 2018",2020,TV-14,120 min,Comedies,Description 157
s158,,Movie/Show 158,Director 4,Actor 5,United Kingdom,,2013,TV-MA,120 min,Horror Movies,Description 158
s159,Movie,Movie/Show 159,Director 4,,,"March 5, 2018",2016,PG-13,120 min,Dramas,Description 159
s160,,Movie/Show 160,Director 2,,Canada,"March 5, 2018",2013,PG-13,90 min,Horror Movies,Description 160
s161,,Movie/Show 161,Director 4,"Actor 1, Actor 2",,"March 5, 2018",2011,R,2 Seasons,Dramas,Description 161
s162,Movie,Movie/Show 162,,,United Kingdom,"March 5, 2018",2001,PG-13,95 min,Horror Movies,Description 162
s163,,Movie/Show 163,Director 2,Actor 3,,"July 15, 2020",2022,TV-MA,90 min,Action & Adventure,Description 163
s164,,Movie/Show 164,Director 4,,United Kingdom,"December 31, 2020",2016,TV-MA,120 min,Action & Adventure,Description 164
s165,TV Show,Movie/Show 165,Director 2,,,,2013,TV-MA,120 min,Dramas,Description 165
s166,,Movie/Show 166,,Actor 3,United States,"September 9, 2019",2007,PG-13,90 min,Horror Movies,Description 166
s167,TV Show,Movie/Show 167,,Actor 3,Canada,"September 9, 2019",2015,,2 Seasons,Horror Movies,Description 167
s168,Movie,Movie/Show 168,Director 2,,Canada,"December 31, 2020",2012,PG-13,2 Seasons,Documentaries,Description 168
s169,TV Show,Movie/Show 169,Director 1,,United Kingdom,"March 5, 2018",2011,R,100 min,Documentaries,Description 169
s170,TV Show,Movie/Show 170,Director 3,Actor 5,,"March 5, 2018",2018,TV-MA,100 min,Comedies,Description 170
s171,Movie,Movie/Show 171,Director 4,,India,,2022,R,100 min,Action & Adventure,Description 171
s172,TV Show,Movie/Show 172,Director 3,"Actor 1, Actor 2",Canada,"September 9, 2019",2018,TV-MA,120 min,Dramas,Description 172
s173,Movie,Movie/Show 173,,"Actor 1, Actor 2",,"March 5, 2018",2003,R,90 min,Action & Adventure,Description 173
s174,,Movie/Show 174,Director 3,"Actor 1, Actor 2",,"July 15, 2020",2013,TV-14,90 min,Horror Movies,Description 174
s175,,Movie/Show 175,Director 1,"Actor 1, Actor 2",United States,,2004,TV-14,100 min,Action & Adventure,Description 175
s176,TV Show,Movie/Show 176,Director 3,,India,"July 15, 2020",2008,TV-MA,2 Seasons,Documentaries,Description 176
s177,,Movie/Show 177,Director 3,Actor 5,Canada,"July 15, 2020",2015,R,100 min,Horror Movies,Description 177
s178,Movie,Movie/Show 178,,Actor 3,United States,"December 31, 2020",2007,PG-13,90 min,Action & Adventure,Description 178
s179,,Movie/Show 179,,,India,"December 31, 2020",2002,,120 min,Comedies,Description 179
s180,Movie,Movie/Show 180,Director 4,Actor 6,Canada,"July 15, 2020",2009,PG-13,100 min,Documentaries,Description 180
s181,,Movie/Show 181,Director 2,,United States,"December 31, 2020",2019,PG-13,95 min,Documentaries,Description 181
s182,TV Show,Movie/Show 182,Director 4,"Actor 1, Actor 2",India,"July 15, 2020",2017,,95 min,Action & Adventure,Description 182
s183,,Movie/Show 183,,Actor 6,Canada,"March 5, 2018",2013,,2 Seasons,Horror Movies,Description 183
s184,,Movie/Show 184,Director 4,,India,"December 31, 2020",2008,R,90 min,Horror Movies,Description 184
s185,,Movie/Show 185,Director 3,Actor 5,,"July 15, 2020",2006,,120 min,Documentaries,Description 185
s186,Movie,Movie/Show 186,Director 3,Actor 5,United Kingdom,,2000,TV-14,95 min,Horror Movies,Description 186
s187,Movie,Movie/Show 187,,Actor 6,United Kingdom,,2022,,100 min,Comedies,Description 187
s188,TV Show,Movie/Show 188,,Actor 3,,"December 31, 2020",2000,PG-13,120 min,Dramas,Description 188
s189,Movie,Movie/Show 189,Director 4,Actor 6,India,,2018,TV-MA,90 min,Horror Movies,Description 189
s190,,Movie/Show 190,Director 4,Actor 5,,"September 9, 2019",2016,TV-14,100 min,Comedies,Description 190
s191,,Movie/Show 191,Director 3,Actor 6,United Kingdom,"September 9, 2019",2003,,120 min,Horror Movies,Description 191
s192,Movie,Movie/Show 192,Director 2,"Actor 1, Actor 2",United Kingdom,,2016,,90 min,Documentaries,Description 192
s193,,Movie/Show 193,Director 2,"Actor 1, Actor 2",India,"July 15, 2020",2000,TV-MA,120 min,Comedies,Description 193
s194,TV Show,Movie/Show 194,,Actor 3,United Kingdom,,2012,R,95 min,Documentaries,Description 194
s195,TV Show,Movie/Show 195,Director 4,Actor 6,,,2020,PG-13,95 min,Action & Adventure,Description 195
s196,Movie,Movie/Show 196,Director 2,Actor 6,India,,2006,TV-MA,90 min,Horror Movies,Description 196
s197,Movie,Movie/Show 197,Director 4,Actor 6,,"July 15, 2020",2022,R,95 min,Horror Movies,Description 197
s198,TV Show,Movie/Show 198,Director 1,Actor 6,India,"July 15, 2020",2010,PG-13,90 min,Documentaries,Description 198
s199,TV Show,Movie/Show 199,Director 3,Actor 3,United Kingdom,"September 9, 2019",2013,,2 Seasons,Horror Movies,Description 199
s200,Movie,Movie/Show 200,Director 4,Actor 5,Canada,"December 31, 2020",2011,R,95 min,Dramas,Description 200
s201,Movie,Movie/Show 201,Director 4,,India,"September 9, 2019",2003,TV-MA,120 min,Horror Movies,Description 201
s202,Movie,Movie/Show 202,Director 4,Actor 3,India,"July 15, 2020",2004,TV-14,120 min,Comedies,Description 202
s203,,Movie/Show 203,Director 2,Actor 5,Canada,"July 15, 2020",2013,TV-MA,90 min,Action & Adventure,Description 203
s204,Movie,Movie/Show 204,Director 4,Actor 5,United Kingdom,"July 15, 2020",2020,TV-MA,2 Seasons,Documentaries,Description 204
s205,Movie,Movie/Show 205,Director 1,Actor 5,,"July 15, 2020",2018,TV-14,100 min,Comedies,Description 205
s206,,Movie/Show 206,Director 2,Actor 6,United States,"July 15, 2020",2008,R,120 min,Comedies,Description 206
s207,TV Show,Movie/Show 207,,Actor 3,Canada,"July 15, 2020",2008,R,2 Seasons,Comedies,Description 207
s208,Movie,Movie/Show 208,,Actor 5,United States,"March 5, 2018",2017,TV-MA,120 min,Action & Adventure,Description 208
s209,,Movie/Show 209,Director 3,,United Kingdom,"March 5, 2018",2013,TV-MA,90 min,Documentaries,Description 209
s210,Movie,Movie/Show 210,Director 1,,India,,2018,R,90 min,Documentaries,Description 210
s211,Movie,Movie/Show 211,Director 4,"Actor 1, Actor 2",India,"March 5, 2018",2011,TV-14,100 min,Action & Adventure,Description 211
s212,,Movie/Show 212,Director 1,Actor 5,United Kingdom,"September 9, 2019",2019,PG-13,90 min,Dramas,Description 212
s213,TV Show,Movie/Show 213,,Actor 3,,,2008,TV-14,100 min,Comedies,Description 213
s214,,Movie/Show 214,Director 4,Actor 6,,"December 31, 2020",2021,,90 min,Documentaries,Description 214
s215,Movie,Movie/Show 215,Director 1,"Actor 1, Actor 2",United Kingdom,"July 15, 2020",2012,TV-MA,120 min,Action & Adventure,Description 215
s216,TV Show,Movie/Show 216,Director 2,Actor 5,United Kingdom,"March 5, 2018",2006,R,90 min,Action & Adventure,Description 216
s217,,Movie/Show 217,Director 4,Actor 6,United Kingdom,"September 9, 2019",2013,TV-14,95 min,Comedies,Description 217
s218,,Movie/Show 218,Director 2,Actor 3,United Kingdom,"December 31, 2020",2017,,2 Seasons,Action & Adventure,Description 218
s219,TV Show,Movie/Show 219,Director 1,Actor 3,United Kingdom,"July 15, 2020",2017,,120 min,Horror Movies,Description 219
s220,Movie,Movie/Show 220,Director 4,"Actor 1, Actor 2",United Kingdom,"July 15, 2020",2015,TV-MA,2 Seasons,Comedies,Description 220
s221,,Movie/Show 221,Director 3,"Actor 1, Actor 2",India,"December 31, 2020",2005,PG-13,95 min,Documentaries,Description 221
s222,,Movie/Show 222,Director 3,Actor 5,United States,"December 31, 2020",2011,PG-13,2 Seasons,Comedies,Description 222
s223,,Movie/Show 223,,Actor 6,,"December 31, 2020",2017,,95 min,Dramas,Description 223
s224,Movie,Movie/Show 224,Director 4,,United States,"September 9, 2019",2017,TV-14,90 min,Comedies,Description 224
s225,,Movie/Show 225,Director 1,Actor 6,India,,2015,,90 min,Comedies,Description 225
s226,TV Show,Movie/Show 226,Director 3,Actor 3,Canada,,2008,TV-MA,95 min,Dramas,Description 226
s227,TV Show,Movie/Show 227,,Actor 3,United States,"March 5, 2018",2009,TV-MA,120 min,Comedies,Description 227
s228,,Movie/Show 228,Director 4,Actor 5,Canada,"July 15, 2020",2018,PG-13,90 min,Action & Adventure,Description 228
s229,,Movie/Show 229,Director 3,,India,"March 5, 2018",2011,,120 min,Documentaries,Description 229
s230,TV Show,Movie/Show 230,Director 4,Actor 5,,,2022,R,2 Seasons,Documentaries,Description 230
s231,TV Show,Movie/Show 231,,Actor 3,Canada,"December 31, 2020",2012,R,90 min,Horror Movies,Description 231
s232,,Movie/Show 232,Director 1,Actor 3,India,"July 15, 2020",2004,TV-14,95 min,Documentaries,Description 232
s233,TV Show,Movie/Show 233,,Actor 6,United Kingdom,,2021,TV-14,95 min,Documentaries,Description 233
s234,Movie,Movie/Show 234,Director 1,,,"July 15, 2020",2003,PG-13,90 min,Dramas,Description 234
s235,Movie,Movie/Show 235,Director 2,Actor 6,United Kingdom,"March 5, 2018",2007,TV-MA,95 min,Comedies,Description 235
s236,Movie,Movie/Show 236,Director 3,Actor 6,,,2014,R,90 min,Comedies,Description 236
s237,Movie,Movie/Show 237,Director 2,Actor 5,,"March 5, 2018",2022,R,100 min,Action & Adventure,Description 237
